gene_id	WTS_1	WTS_2	WTS_3	WT_1	WT_2	WT_3
gene-OW489_RS01745	1105	2165	2119	1046	1276	903
gene-OW489_RS01750	16	43	48	6	4	8
gene-OW489_RS01755	3583	4442	4831	3200	3329	3169
gene-OW489_RS01760	3718	3250	3573	3709	4551	3693
gene-OW489_RS01765	3785	3140	3402	922	1388	891
gene-OW489_RS01770	693	817	787	178	257	167
gene-OW489_RS01775	1507	1994	2065	201	408	184
gene-OW489_RS01780	296	304	301	66	99	82
gene-OW489_RS01785	280	401	538	64	186	43
gene-OW489_RS01790	26	69	62	27	28	17
gene-OW489_RS01795	72	224	206	245	241	204
gene-OW489_RS01800	119	342	328	251	315	225
gene-OW489_RS01805	57	77	63	30	54	21
gene-OW489_RS01810	2103	1748	2589	4825	8895	4517
gene-OW489_RS01815	1036	899	1065	1906	3491	1929
gene-OW489_RS01820	1050	994	1358	1772	2988	1593
gene-OW489_RS01825	849	820	972	1560	2726	1457
gene-OW489_RS01830	830	1704	1965	3751	4689	3601
gene-OW489_RS01835	4462	3599	4322	6133	10283	6395
gene-OW489_RS01840	221	379	491	363	819	430
gene-OW489_RS01845	1574	1636	2091	877	2122	797
gene-OW489_RS01850	345	553	627	355	559	286
gene-OW489_RS01855	230	495	501	366	381	305
gene-OW489_RS01860	76	144	138	104	75	99
gene-OW489_RS01865	2047	2226	2630	2738	3592	2598
gene-OW489_RS01870	1159	1309	1491	1126	1661	1043
gene-OW489_RS01875	489	662	665	570	588	596
gene-OW489_RS01880	4172	2916	3023	1902	2321	1842
gene-OW489_RS01885	274	527	505	172	270	146
gene-OW489_RS01890	1721	1425	1348	734	838	670
gene-OW489_RS01895	190	256	245	242	277	199
gene-OW489_RS01900	1985	2013	2232	959	1228	840
gene-OW489_RS01905	219	344	409	348	572	322
gene-OW489_RS01910	591	907	979	828	1541	698
gene-OW489_RS01915	494	758	836	724	984	643
gene-OW489_RS01920	769	910	973	852	1023	872
gene-OW489_RS01925	235	313	323	200	205	166
gene-OW489_RS01930	634	1069	1122	750	967	759
gene-OW489_RS01935	687	1285	1202	818	1171	676
gene-OW489_RS01940	1293	1303	1232	674	711	603
gene-OW489_RS01945	445	415	416	232	381	185
gene-OW489_RS01950	822	1097	1153	526	788	524
gene-OW489_RS01955	466	734	633	139	131	92
gene-OW489_RS01960	10386	8880	13737	1088	2791	1154
gene-OW489_RS01965	3636	4661	5339	1584	2070	1360
gene-OW489_RS01970	2600	6763	6999	2486	2279	2474
gene-OW489_RS01975	3097	5767	5715	2504	2157	2633
gene-OW489_RS01980	8216	7249	7911	2708	3999	2688
gene-OW489_RS01985	1242	795	1007	514	1240	436
gene-OW489_RS01990	997	660	861	523	1340	450
gene-OW489_RS01995	380	312	523	230	703	228
gene-OW489_RS02000	1453	822	1243	656	2029	533
gene-OW489_RS02005	1448	1297	1840	778	2190	675
gene-OW489_RS02010	1028	1450	1514	579	709	469
gene-OW489_RS02015	1582	2384	2557	4121	6857	4129
gene-OW489_RS02020	710	656	945	805	1226	968
gene-OW489_RS02025	68	86	84	60	98	101
